shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5,25.7664400,-80.1920500,9
5,25.7662000,-80.1909400,10
5,25.7660600,-80.1904600,11
5,25.7656100,-80.1883600,12
5,25.7654800,-80.1874900,13
5,25.7655000,-80.1869300,14
5,25.7656600,-80.1862500,15
5,25.7659200,-80.1855600,16
5,25.7661400,-80.1852100,17
5,25.7662000,-80.1850800,18
5,25.7661600,-80.1850200,19
5,25.7660100,-80.1848400,20
5,25.7657100,-80.1847500,21
5,25.7653200,-80.1848000,22
5,25.7652300,-80.1848400,23
5,25.7651800,-80.1849500,24
5,25.7650700,-80.1849800,25
5,25.7649800,-80.1848400,26
5,25.7651200,-80.1846900,27
5,25.7656900,-80.1846300,28
5,25.7660000,-80.1846700,29
5,25.7662300,-80.1849000,30
5,25.7664000,-80.1850200,31
5,25.7664300,-80.1851400,32
5,25.7664000,-80.1852500,33
5,25.7662600,-80.1853300,34
5,25.7659800,-80.1857800,35
5,25.7656500,-80.1866600,36
5,25.7655900,-80.1871800,37
5,25.7655900,-80.1875300,38
5,25.7658600,-80.1889600,39
5,25.7661900,-80.1904400,40
5,25.7662000,-80.1906900,41
5,25.7660400,-80.1907800,42
5,25.7644100,-80.1912300,43
5,25.7642600,-80.1913100,44
5,25.7645500,-80.1925400,45
5,25.7644800,-80.1951200,46
5,25.7644600,-80.1952500,47
5,25.7643500,-80.1952600,48
5,25.7635700,-80.1952400,49
5,25.7633900,-80.1952100,50
5,25.7625500,-80.1951400,51
5,25.7615500,-80.1951000,52
5,25.7615646,-80.1934400,53
5,25.7616078,-80.1921284,54
5,25.7615786,-80.1920640,55
5,25.7615156,-80.1920345,56
5,25.7581603,-80.1928542,57
5,25.7579042,-80.1930796,58
5,25.7564187,-80.1951981,59
5,25.7517700,-80.2019900,60
5,25.7506100,-80.2037400,61
5,25.7505000,-80.2040500,62
5,25.7503900,-80.2044300,63
5,25.7502717,-80.2054260,64
5,25.7502065,-80.2061860,65
5,25.7501800,-80.2064800,66
5,25.7494200,-80.2075400,67
5,25.7482600,-80.2092500,68
5,25.7419900,-80.2183000,69
5,25.7419026,-80.2183443,70
5,25.7418200,-80.2183000,71
5,25.7405400,-80.2172200,72
5,25.7394300,-80.2163400,73
5,25.7393500,-80.2162500,74
5,25.7406300,-80.2144000,75
5,25.7407300,-80.2142800,76
5,25.7420500,-80.2153700,77
5,25.7422100,-80.2155600,78
5,25.7424700,-80.2159800,79
5,25.7427500,-80.2163100,80
5,25.7429068,-80.2165898,81
5,25.7429847,-80.2166398,82
5,25.7430501,-80.2166034,83
5,25.7448100,-80.2140300,84
5,25.7481700,-80.2091500,85
5,25.7499400,-80.2066700,86
5,25.7500500,-80.2064800,87
5,25.7500817,-80.2060829,88
5,25.7502400,-80.2043700,89
5,25.7503300,-80.2039300,90
5,25.7504738,-80.2036080,91
5,25.7509407,-80.2028474,92
5,25.7517699,-80.2016468,93
5,25.7549624,-80.1969951,94
5,25.7578200,-80.1929100,95
5,25.7579600,-80.1928100,96
5,25.7581300,-80.1927200,97
5,25.7615300,-80.1918400,98
5,25.7630900,-80.1913900,99
5,25.7641100,-80.1911200,100
5,25.7642600,-80.1912200,101
5,25.7645700,-80.1925400,102
5,25.7645000,-80.1951200,103
5,25.7644800,-80.1952700,104
5,25.7643700,-80.1952900,105
5,25.7640900,-80.1952800,106
6,25.7633638,-80.1951779,1
6,25.761540,-80.195090,2
6,25.761530,-80.195010,3
6,25.761570,-80.193450,4
6,25.761560,-80.193350,5
6,25.761490,-80.193350,6
6,25.761140,-80.193440,7
6,25.759740,-80.193820,8
6,25.758880,-80.194040,9
6,25.758860,-80.194050,10
6,25.758820,-80.194180,11
6,25.758730,-80.194250,12
6,25.758650,-80.194240,13
6,25.758590,-80.194150,14
6,25.758580,-80.194020,15
6,25.758030,-80.193067,16
6,25.757987,-80.192833,17
6,25.758120,-80.192690,18
6,25.761667,-80.191773,19
6,25.762990,-80.191400,20
6,25.766257,-80.190570,21
6,25.767186,-80.190329,22
6,25.768585,-80.190020,23
6,25.768935,-80.189947,24
6,25.769190,-80.189925,25
6,25.769661,-80.189894,26
6,25.769898,-80.189906,27
6,25.770380,-80.189950,28
6,25.770693,-80.190003,29
6,25.770800,-80.189950,30
6,25.770844,-80.189884,31
6,25.770873,-80.189797,32
6,25.770900,-80.189230,33
6,25.770979,-80.187609,34
6,25.770994,-80.187417,35
6,25.771047,-80.187267,36
6,25.771157,-80.187221,37
6,25.771300,-80.187220,38
6,25.772260,-80.187230,39
6,25.773080,-80.187001,40
6,25.773780,-80.187050,41
6,25.774434,-80.187269,42
6,25.775795,-80.187426,43
6,25.776346,-80.187539,44
6,25.777350,-80.187860,45
6,25.778360,-80.188088,46
6,25.779356,-80.188486,47
6,25.779558,-80.188593,48
6,25.780320,-80.188960,49
6,25.780980,-80.189215,50
6,25.781400,-80.189280,51
6,25.781765,-80.189297,52
6,25.782033,-80.189268,53
6,25.783820,-80.189270,54
6,25.784390,-80.189240,55
6,25.784950,-80.189170,56
6,25.785871,-80.189020,57
6,25.786313,-80.189003,58
6,25.788260,-80.189120,59
6,25.788413,-80.189089,60
6,25.789668,-80.189026,61
6,25.790777,-80.188976,62
6,25.792509,-80.188923,63
6,25.794981,-80.188965,64
6,25.799015,-80.189040,65
6,25.800326,-80.189089,66
6,25.801510,-80.189111,67
